Accession,Release_Date,Species,Length,Nuc_Completeness,Geo_Location,U.S._State,Host,Isolation_Source,Collection_Date
LC573285,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,partial,Japan,,Homo sapiens,,2020-06
LC573286,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,partial,Japan,,Homo sapiens,,2020-06
MT903406,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,157,partial,Iran,,Homo sapiens,,2020-04-04
MT903411,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,157,partial,Iran,,Homo sapiens,,2020-04-04
MT903416,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,156,partial,Iran,,Homo sapiens,,2020-04-04
MT903455,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,157,partial,Iran,,Homo sapiens,,2020-04-04
MT903460,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,547,partial,Iran,,Homo sapiens,,2020-04-04
MT903461,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,547,partial,Iran,,Homo sapiens,,2020-04-04
MT903462,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,547,partial,Iran,,Homo sapiens,,2020-04-04
MT903463,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,547,partial,Iran,,Homo sapiens,,2020-04-04
MT905416,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905417,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905418,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905419,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905420,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905421,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905422,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905423,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905424,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905425,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905426,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905427,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905428,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905429,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905430,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT905431,2020-08-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,Egypt,,Homo sapiens,,2020-08-01
MT050491,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,partial,India: Kerala State,,Homo sapiens,oronasopharynx,2020-01-30
MT050492,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29736,partial,India: Kerala State,,Homo sapiens,oronasopharynx,2020-01-31
MT479216,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,Italy,,Homo sapiens,,2020-02-26
MT483867,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,Italy,,Homo sapiens,,2020-03-04
MT483874,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,Italy,,Homo sapiens,,2020-03-04
MT483875,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29801,complete,Italy,,Homo sapiens,,2020-02-28
MT483876,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,Italy,,Homo sapiens,,2020-03-09
MT483877,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,Italy,,Homo sapiens,,2020-03-09
MT483878,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29801,complete,Italy,,Homo sapiens,,2020-03-08
MT483879,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,Italy,,Homo sapiens,,2020-03-18
MT483880,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,Italy,,Homo sapiens,,2020-03-04
MT483881,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29800,complete,Italy,,Homo sapiens,,2020-02-28
MT893659,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,complete,USA: FL,FL,Homo sapiens,,2020-06-20
MT893660,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29768,partial,USA: FL,FL,Homo sapiens,,2020-06-19
MT893661,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,USA: FL,FL,Homo sapiens,,2020-06-19
MT893662,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,complete,USA: FL,FL,Homo sapiens,,2020-06-19
MT893663,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,partial,USA: FL,FL,Homo sapiens,,2020-06-20
MT893664,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,complete,USA: FL,FL,Homo sapiens,,2020-06-20
MT893665,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,partial,USA: FL,FL,Homo sapiens,,2020-06-20
MT893666,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,partial,USA: FL,FL,Homo sapiens,,2020-06-22
MT893667,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: FL,FL,Homo sapiens,,2020-06-22
MT893668,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,complete,USA: FL,FL,Homo sapiens,,2020-06-22
MT893669,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-06-23
MT893670,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,complete,USA: FL,FL,Homo sapiens,,2020-06-23
MT893671,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,USA: FL,FL,Homo sapiens,,2020-06-22
MT893672,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA: FL,FL,Homo sapiens,,2020-06-23
MT893673,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,USA: FL,FL,Homo sapiens,,2020-06-23
MT893674,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,complete,USA: FL,FL,Homo sapiens,,2020-06-27
MT893675,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,complete,USA: FL,FL,Homo sapiens,,2020-06-27
MT893676,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,partial,USA: FL,FL,Homo sapiens,,2020-06-29
MT893677,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,complete,USA: FL,FL,Homo sapiens,,2020-06-27
MT893678,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29747,partial,USA: FL,FL,Homo sapiens,,2020-06-27
MT893679,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-06-28
MT893680,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-06-28
MT893681,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,USA: FL,FL,Homo sapiens,,2020-06-28
MT893682,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29761,partial,USA: FL,FL,Homo sapiens,,2020-06-28
MT893683,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,complete,USA: FL,FL,Homo sapiens,,2020-06-28
MT893684,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29820,complete,USA: FL,FL,Homo sapiens,,2020-06-28
MT893685,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: FL,FL,Homo sapiens,,2020-06-29
MT893686,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,complete,USA: FL,FL,Homo sapiens,,2020-06-30
MT893687,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,partial,USA: FL,FL,Homo sapiens,,2020-06-29
MT893688,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,complete,USA: FL,FL,Homo sapiens,,2020-06-29
MT893689,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29715,partial,USA: FL,FL,Homo sapiens,,2020-06-29
MT893690,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29513,partial,USA: FL,FL,Homo sapiens,,2020-06-29
MT893691,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29578,partial,USA: FL,FL,Homo sapiens,,2020-06-30
MT893692,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,USA: FL,FL,Homo sapiens,,2020-06-29
MT893693,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29769,partial,USA: FL,FL,Homo sapiens,,2020-06-29
MT893694,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29545,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893695,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893696,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893697,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893698,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29254,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893699,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29717,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893700,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29079,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893701,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,28948,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893702,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29664,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893703,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,28773,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893704,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29772,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893705,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29071,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893706,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29165,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893707,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29432,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893708,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,28998,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893709,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,28959,partial,USA: FL,FL,Homo sapiens,,2020-04-07
MT893710,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29763,partial,USA: FL,FL,Homo sapiens,,2020-04-06
MT897260,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,complete,Egypt,,Homo sapiens,,2020-07-02
MT897261,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,complete,Egypt,,Homo sapiens,,2020-07-02
MT897459,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29829,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-23
MT897460,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-06-22
MT897461,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29845,complete,USA: Minnesota,MN,Homo sapiens,,2020-06-24
MT897462,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,complete,USA: Minnesota,MN,Homo sapiens,,2020-06-24
MT897463,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29826,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-06-24
MT897464,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,complete,USA: Minnesota,MN,Homo sapiens,,2020-06-21
MT897465,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29827,complete,USA: Minnesota,MN,Homo sapiens,,2020-06-24
MT897466,2020-08-18T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-03-26
MT890204,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-29
MT890205,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29839,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-25
MT890206,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-24
MT890207,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-23
MT890208,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-24
MT890209,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-30
MT890210,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,complete,Ghana,,Homo sapiens,oronasopharynx,2020-05-23
MT890211,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,complete,Ghana,,Homo sapiens,oronasopharynx,2020-05-22
MT890212,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-20
MT890213,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-23
MT890214,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-27
MT890215,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-24
MT890216,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-25
MT890217,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29842,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-29
MT890218,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-30
MT890219,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29834,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-30
MT890220,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-25
MT890221,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-24
MT890222,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-31
MT890223,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-24
MT890224,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-27
MT890225,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29829,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-30
MT890226,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29826,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-23
MT890227,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-29
MT890228,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-24
MT890229,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-23
MT890230,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,complete,Ghana,,Homo sapiens,oronasopharynx,2020-05-24
MT890231,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-24
MT890232,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-23
MT890233,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-25
MT890234,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-20
MT890235,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,complete,Ghana,,Homo sapiens,oronasopharynx,2020-05-25
MT890236,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,complete,Ghana,,Homo sapiens,oronasopharynx,2020-05-25
MT890237,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-25
MT890238,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,complete,Ghana,,Homo sapiens,oronasopharynx,2020-05-20
MT890239,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-27
MT890240,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,complete,Ghana,,Homo sapiens,oronasopharynx,2020-03-28
MT890241,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-25
MT890242,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,partial,Ghana,,Homo sapiens,oronasopharynx,2020-04-25
MT890243,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,Ghana,,Homo sapiens,oronasopharynx,2020-05-24
MT890244,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-25
MT890245,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,Ghana,,Homo sapiens,oronasopharynx,2020-05-24
MT890246,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-27
MT890247,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-23
MT890248,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-28
MT890249,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,Ghana,,Homo sapiens,oronasopharynx,2020-03-29
MT890272,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,partial,USA: FL,FL,Homo sapiens,,2020-07-01
MT890273,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,partial,USA: FL,FL,Homo sapiens,,2020-07-01
MT890274,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,partial,USA: FL,FL,Homo sapiens,,2020-07-14
MT890275,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,partial,USA: FL,FL,Homo sapiens,,2020-07-14
MT890276,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29716,partial,USA: FL,FL,Homo sapiens,,2020-03-12
MT890277,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,complete,USA: FL,FL,Homo sapiens,,2020-03-15
MT890278,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,partial,USA: FL,FL,Homo sapiens,,2020-03-21
MT890279,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,complete,USA: FL,FL,Homo sapiens,,2020
MT890280,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,complete,USA: FL,FL,Homo sapiens,,2020-03-21
MT890281,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,complete,USA: FL,FL,Homo sapiens,,2020-03-23
MT890282,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29842,partial,USA: FL,FL,Homo sapiens,,2020-05-08
MT890283,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29812,partial,USA: FL,FL,Homo sapiens,,2020-05-12
MT890284,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29815,partial,USA: FL,FL,Homo sapiens,,2020-05-12
MT890285,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: FL,FL,Homo sapiens,,2020-05-18
MT890286,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29848,complete,USA: FL,FL,Homo sapiens,,2020-05-18
MT890287,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29534,partial,USA: FL,FL,Homo sapiens,,2020-05-21
MT890288,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29730,complete,USA: FL,FL,Homo sapiens,,2020-05-20
MT890289,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29842,complete,USA: FL,FL,Homo sapiens,,2020-05-20
MT890290,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29846,complete,USA: FL,FL,Homo sapiens,,2020-05-21
MT890291,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,partial,USA: FL,FL,Homo sapiens,,2020-05-22
MT890292,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,complete,USA: FL,FL,Homo sapiens,,2020-05-22
MT890293,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,complete,USA: FL,FL,Homo sapiens,,2020-05-25
MT890294,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,USA: FL,FL,Homo sapiens,,2020-05-26
MT890295,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,USA: FL,FL,Homo sapiens,,2020-06-08
MT890296,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,USA: FL,FL,Homo sapiens,,2020-06-10
MT890297,2020-08-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29526,partial,USA: FL,FL,Homo sapiens,,2020-06-11
